motif_id,genes,length,n_inh,n_pathways
M_0119,MAPK1|CSBP|AKT3,3,1,3
M_0120,MAPK1|CSBP|MPPH,3,1,3
M_0121,MAPK1|CSBP|MPPH2,3,1,3
M_0122,MAPK1|CSBP1|AKT3,3,1,3
M_0123,MAPK1|CSBP1|MPPH,3,1,3
M_0124,MAPK1|CSBP1|MPPH2,3,1,3
M_0125,MAPK1|CSBP2|AKT3,3,1,3
M_0126,MAPK1|CSBP2|MPPH,3,1,3
M_0127,MAPK1|CSBP2|MPPH2,3,1,3
M_0128,MAPK1|SMAD2|BMPR1A,3,1,4
M_0129,MAPK1|SMAD2|BMPR1B,3,1,4
M_0130,MAPK1|SMAD2|BMPR2,3,1,4
M_0131,MAPK1|SMAD3|BMPR1A,3,1,4
M_0132,MAPK1|SMAD3|BMPR1B,3,1,4
M_0133,MAPK1|SMAD3|BMPR2,3,1,4
M_0134,MAPK1|SOCS1|JAK2,3,1,4
M_0135,MAPK1|SOCS1|M-CSF-R,3,1,3
M_0136,MAPK1|AISIMD|JAK2,3,1,4
M_0137,MAPK1|AISIMD|M-CSF-R,3,1,3
M_0138,LOC110117498-PIK3R3|PTEN|PTK2,3,1,4
M_0139,SMAD3|BMPR1A|ERK,3,1,4
M_0140,SMAD3|BMPR1B|ERK,3,1,4
M_0141,SMAD3|BMPR2|ERK,3,1,4
M_0142,IMD31A|STAT1|CISH,3,1,2
M_0143,IMD31A|STAT1|SOCS4,3,1,2
M_0144,IMD31A|STAT1|SOCS7,3,1,2
M_0145,IMD31A|STAT1|SOCS1,3,1,3
M_0146,IMD31A|STAT1|AISIMD,3,1,3
M_0147,IMD31A|STAT1|9306,3,1,2
M_0148,IMD31A|STAT1|9655,3,1,2
M_0149,IMD31A|STAT5A|CISH,3,1,2
M_0150,IMD31A|STAT5A|SOCS4,3,1,2
M_0151,IMD31A|STAT5A|SOCS7,3,1,2
M_0152,IMD31A|STAT5A|SOCS1,3,1,3
M_0153,IMD31A|STAT5A|AISIMD,3,1,3
M_0154,IMD31A|STAT5A|9306,3,1,2
M_0155,IMD31A|STAT5A|9655,3,1,2
M_0156,IMD31A|MGF|CISH,3,1,2
M_0157,IMD31A|MGF|SOCS4,3,1,2
M_0158,IMD31A|MGF|SOCS7,3,1,2
M_0159,IMD31A|MGF|SOCS1,3,1,3
M_0160,IMD31A|MGF|AISIMD,3,1,3
M_0161,IMD31A|MGF|9306,3,1,2
M_0162,IMD31A|MGF|9655,3,1,2
M_0163,IMD31A|STAT91|CISH,3,1,1
M_0164,IMD31A|STAT91|SOCS4,3,1,2
M_0165,IMD31A|STAT91|SOCS7,3,1,2
M_0166,IMD31A|STAT91|SOCS1,3,1,2
M_0167,IMD31A|STAT91|AISIMD,3,1,2
M_0168,IMD31A|STAT91|9306,3,1,2
M_0169,IMD31A|STAT91|9655,3,1,2
M_0170,IMD31A|IMD31B|CISH,3,1,1
M_0171,IMD31A|IMD31B|SOCS4,3,1,2
M_0172,IMD31A|IMD31B|SOCS7,3,1,2
M_0173,IMD31A|IMD31B|SOCS1,3,1,2
M_0174,IMD31A|IMD31B|AISIMD,3,1,2
M_0175,IMD31A|IMD31B|9306,3,1,2
M_0176,IMD31A|IMD31B|9655,3,1,2
M_0177,IMD31A|CISH|PRLR,3,1,2
M_0178,IMD31A|SOCS4|JAK1,3,1,3
M_0179,IMD31A|SOCS4|JTK10,3,1,4
M_0180,IMD31A|SOCS4|JAK2,3,1,9
M_0181,IMD31A|SOCS4|JAK1B,3,1,2
M_0182,IMD31A|SOCS7|JAK1,3,1,3
M_0183,IMD31A|SOCS7|JTK10,3,1,4
M_0184,IMD31A|SOCS7|JAK2,3,1,9
M_0185,IMD31A|SOCS7|JAK1B,3,1,2
M_0186,IMD31A|SOCS1|JAK1,3,1,5
M_0187,IMD31A|SOCS1|JAK1B,3,1,4
M_0188,IMD31A|SOCS1|JTK10,3,1,5
M_0189,IMD31A|SOCS1|JAK2,3,1,9
M_0190,IMD31A|AISIMD|JAK1,3,1,4
M_0191,IMD31A|AISIMD|JTK10,3,1,5
M_0192,IMD31A|AISIMD|JAK2,3,1,9
M_0193,IMD31A|AISIMD|JAK1B,3,1,3
M_0194,IMD31A|9306|JAK1,3,1,3
M_0195,IMD31A|9306|JTK10,3,1,4
M_0196,IMD31A|9306|JAK2,3,1,9
M_0197,IMD31A|9306|JAK1B,3,1,2
M_0198,IMD31A|9655|JAK1,3,1,3
M_0199,IMD31A|9655|JTK10,3,1,4
M_0200,IMD31A|9655|JAK2,3,1,9
M_0201,IMD31A|9655|JAK1B,3,1,2
